2016-12-10,21st-and-6th,Pineapple ,$3.50
2016-12-10,21st-and-6th,BBQ Sweet Potato Salad,$3.50
2016-12-10,21st-and-6th,San Pellegrino Sparkling Water,$2.75
2016-12-10,21st-and-6th,Tortellini Florentine,$9.30
2016-12-10,21st-and-6th,Fall Apple Slaw,$3.50
2016-12-10,21st-and-6th,Ginger Ale,$2.15
2016-12-10,21st-and-6th,Diet Lemon Snapple,$2.15
2016-12-10,21st-and-6th,Southwestern Protein Box,$8.50
2016-12-10,21st-and-6th,Pop 101 Baked Popcorn,$1.65
2016-12-10,21st-and-6th,"Black Forest Ham, Murray's Cheddar & Beer Mustard  ",$4.15
2016-12-10,21st-and-6th,Green Goddess Chicken Picnic Box,$5.50
2016-12-10,21st-and-6th,Prosciutto and Mozzarella Picnic Box,$5.50
2016-12-10,23rd-and-park,Seafood Jambalaya,$10.15
2016-12-10,23rd-and-park,Italian Wedding Soup,$9.30
2016-12-10,23rd-and-park,H&H Tuna Salad Sandwich,$4.05
2016-12-10,23rd-and-park,Ten Vegetable,$7.75
2016-12-10,23rd-and-park,Poland Spring Sparkling Raspberry Lime,$2.15
2016-12-10,23rd-and-park,Cajun Chicken & Avocado Cobb with Smoky Chipotle ,$8.25
2016-12-10,23rd-and-park,Tahini Chicken Protein Box,$8.50
2016-12-10,23rd-and-park,Chicken Pot Pie,$9.30
2016-12-10,23rd-and-park,Poland Spring Water,$2.00
2016-12-10,23rd-and-park,Diet Coke,$2.15
2016-12-10,23rd-and-park,Apple,$0.95
2016-12-10,23rd-and-park,Korean BBQ Beef over Kimchi Rice,$10.95
2016-12-10,23rd-and-park,Oatmeal Raisin Cookie,$1.40
2016-12-10,23rd-and-park,Chocolate Chip Cookie,$1.40
2016-12-10,23rd-and-park,Fall Harvest Vegetable,$7.75
2016-12-10,23rd-and-park,Baby Spinach,$4.95
2016-12-10,23rd-and-park,Deep River Potato Chips,$1.65
2016-12-10,23rd-and-park,Extra Crackers,$0.50
2016-12-10,23rd-and-park,Extra Croutons (2 scoops),$0.50
2016-12-10,23rd-and-park,Terra Chips,$1.95
2016-12-10,23rd-and-park,"Farro, Sweet Potato & Avocado with Savory Tahini",$8.25
2016-12-10,23rd-and-park,Holiday Turkey & Trimmings ,$4.15
2016-12-10,23rd-and-park,Simple Chicken Salad ,$3.50
2016-12-10,23rd-and-park,Organic Lemonade,$2.35
2016-12-10,23rd-and-park,Fall Apple Slaw,$3.50
2016-12-10,23rd-and-park,Spicy Cajun Chicken,$4.15
2016-12-10,23rd-and-park,Grilled Chicken & Guacamole,$4.05
